Individual,GrownIn,Result,Strength,Closeness
AT,Spring2017,2.749,2.25235066,-0.208438
CM,Spring2017,4.29,0.83346897,0.89790406
dotP,Spring2017,4.526,-0.71440197,-1.15717689
EA,Spring2017,9.239,0.0595335,0.79864216
FI,Spring2017,9.321,-0.71440197,0.92554274
GU,Spring2017,4.704,-0.71440197,-0.95647042
IN,Spring2017,7.122,-0.19844499,0.3049432
KA,Spring2017,3.6,-0.06945575,0.34158254
MC,Spring2017,4.529,1.34942594,0.16496696
PZ,Spring2017,4.44,0.18852274,-0.63756858
QA,Spring2017,6.152,0.0595335,-0.08158326
QH,Spring2017,4.721,-0.97238046,1.63070617
Vbar,Spring2017,7.085,-1.35934819,-2.02305067
AT,Fall2016,2.222,1.01601082,1.62246048
CM,Fall2016,0.39,-1.10156963,-0.76492722
GU,Fall2016,2.228,-0.86628291,-0.57969836
HM,Fall2016,1.66,-0.39570948,0.80305238
IN,Fall2016,2.565,-0.39570948,-1.68958675
KA,Fall2016,2.357,-0.39570948,0.3640838
MC,Fall2016,1.767,1.3689409,-0.64261713
Ndot,Fall2016,4.192,1.13365418,0.5337525
QA,Fall2016,3.033,1.3689409,-0.94005198
QH,Fall2016,2.281,-0.86628291,0.2017125
QL,Fall2016,1.531,-0.86628291,1.09181979
