Individual,SeasonGrown,YearGrown,Cort,Density,Lac,AgeC,Weight,Foot
A,Fall,2016,2.373,5,Y,Adu,955,53
B,Fall,2015,4.21,5,Y,Yrl,996,53.67
B,Spring,2016,5.34,2,Y,Adu,1175,53
B,Fall,2016,2.222,4,Y,Adu,941.5,53.67
B,Spring,2017,2.749,4,Y,Adu,1290,56.83
C,Fall,2016,1.87,4,Y,Adu,890,54.67
C,Spring,2017,3.756,4,Y,Adu,780,50.83
D,Spring,2016,7.54,1,Y,Adu,980,53.33
D,Fall,2016,7.736,1,Y,Adu,1030,55.67
D,Spring,2017,4.019,1,Y,Adu,908.13,52.73
E,Fall,2016,2.26,4,Y,Yrl,NA,NA
G,Spring,2016,6.26,4,Y,Yrl,880,54.17
G,Fall,2016,0.39,4,Y,Yrl,NA,NA
G,Spring,2017,4.29,4,Y,Adu,NA,NA
H,Spring,2016,5.81,3,Y,Yrl,957.5,52.33
I,Fall,2016,0.971,6,Y,Yrl,1100,54.33
J,Spring,2017,4.526,2,Y,Adu,1000,49.67
K,Fall,2016,2.598,2,Y,Yrl,986.88,51.25
K,Spring,2017,7.541,2,Y,Adu,1110,55.67
L,Spring,2016,7.97,2,Y,Adu,920,54.33
L,Fall,2016,1.89,2,Y,Adu,1050,54.33
L,Spring,2017,9.239,2,Y,Adu,945,50.67
M,Fall,2016,2.77,2,Y,Adu,NA,NA
N,Spring,2016,8.36,1,Y,Adu,910,48.67
O,Fall,2015,4.14,3,Y,Adu,743,52
O,Spring,2016,5.77,1,Y,Adu,803.75,51
P,Fall,2016,1.186,5,Y,Adu,1230,53.67
P,Spring,2017,2.97,5,Y,Adu,938.75,50.44
Q,Fall,2016,0.255,3,N,Yrl,840,52.33
Q,Spring,2017,2.765,3,N,Adu,880,52.33
R,Fall,2016,2.164,2,Y,Yrl,968.33,51.33
R,Spring,2017,9.321,2,Y,Adu,1040,52.33
S,Fall,2016,1.11,3,N,Yrl,NA,NA
S,Spring,2017,4.32,3,Y,Adu,NA,NA
T,Fall,2016,2.42,3,Y,Yrl,NA,NA
T,Spring,2017,6.77,3,Y,Adu,NA,NA
U,Fall,2016,1.69,4,Y,Yrl,857.14,53.56
U,Spring,2017,5.22,4,Y,Adu,940,53.33
V,Spring,2016,4.53,3,Y,Yrl,905,55.33
W,Spring,2016,5.12,2,N,Yrl,1000,55.67
W,Fall,2016,2.228,2,Y,Yrl,915,53.92
W,Spring,2017,4.704,2,Y,Adu,705,54
X,Fall,2016,3.915,2,Y,Adu,830,59.67
X,Spring,2017,5.765,2,Y,Adu,890,52.33
Y,Fall,2015,2.74,5,Y,Yrl,1056.67,56
Y,Spring,2016,6.59,5,Y,Adu,1130,56
Y,Fall,2016,1.66,6,Y,Adu,969.17,55
Z,Spring,2016,3.48,3,N,Yrl,1040,59.67
Z,Fall,2016,1.69,5,Y,Yrl,968.33,52.92
Z,Spring,2017,4.322,5,Y,Adu,990,48.67
AA,Fall,2016,2.565,4,Y,Yrl,825.5,51.58
BB,Spring,2017,7.122,4,Y,Adu,933.33,53.67
CC,Fall,2015,4.85,2,Y,Yrl,1005.63,52.67
CC,Spring,2016,6.56,2,Y,Adu,1120,53.33
DD,Fall,2016,2.86,3,Y,Adu,NA,NA
EE,Fall,2016,2.357,2,Y,Adu,1065,52.33
EE,Spring,2017,3.6,2,Y,Adu,962.86,52.33
FF,Fall,2015,2.67,2,Y,Yrl,890,52
FF,Spring,2016,8.85,2,Y,Adu,870,51.67
FF,Fall,2016,0.57,2,Y,Adu,1070,52
GG,Fall,2015,5.39,3,Y,Yrl,776.67,52.22
GG,Spring,2016,7.63,3,Y,Adu,840,51
HH,Fall,2016,1.767,5,Y,Yrl,1037.5,51.89
HH,Spring,2017,4.529,5,Y,Adu,1165,53.67
II,Fall,2016,1.65,3,Y,Adu,952.67,53
II,Spring,2017,4.071,3,Y,Adu,875,53.89
JJ,Spring,2016,5,4,N,Yrl,852,52.5
JJ,Fall,2016,4.192,4,N,Yrl,1076.67,53.67
KK,Spring,2016,5.7,1,Y,Adu,950,51
KK,Fall,2016,2.764,2,Y,Adu,930,52
KK,Spring,2017,3.739,2,Y,Adu,909,52.75
LL,Fall,2015,4.54,4,Y,Adu,902.5,54.33
MM,Fall,2016,1.34,3,Y,Adu,1060,54.67
MM,Spring,2017,2.98,3,Y,Adu,920,51.17
NN,Spring,2016,7.71,1,Y,Adu,825,56.83
NN,Fall,2016,1.44,1,N,Adu,860,52.67
NN,Spring,2017,3.285,1,N,Adu,880,52.67
OO,Fall,2016,1.66,4,Y,Yrl,917.78,48.47
OO,Spring,2017,4.44,4,Y,Adu,950,50
PP,Fall,2016,3.033,4,Y,Yrl,926,51
PP,Spring,2017,6.152,4,Y,Adu,1030,53.67
QQ,Spring,2017,1.26,4,Y,Adu,1050,50.33
RR,Fall,2016,2.281,4,Y,Yrl,910.71,52
RR,Spring,2017,4.721,4,Y,Adu,985,52.33
SS,Fall,2016,3.062,2,Y,Yrl,900,51.33
SS,Spring,2017,5.437,2,Y,Adu,975,54.17
TT,Spring,2016,4.95,4,N,Yrl,765,52
TT,Fall,2016,1.531,4,Y,Yrl,NA,NA
UU,Spring,2016,8.01,3,Y,Adu,810,53
VV,Fall,2016,1.088,2,Y,Adu,935,55.67
VV,Spring,2017,3.994,2,Y,Adu,845.31,50.25
WW,Fall,2016,2.69,5,N,Yrl,NA,NA
XX,Spring,2016,5.41,2,N,Yrl,778.13,52.5
XX,Fall,2016,0.44,2,N,Yrl,NA,NA
XX,Spring,2017,0.58,2,N,Adu,NA,NA
YY,Fall,2016,3.489,2,Y,Adu,1010,54
YY,Spring,2017,7.085,2,Y,Adu,992,51.33
ZZ,Fall,2016,1.51,2,Y,Yrl,931.09,52.82
ZZ,Spring,2017,5.962,2,Y,Adu,1030,56
AB,Fall,2016,2.59,2,Y,Yrl,NA,NA
AB,Spring,2017,4.28,2,N,Adu,NA,NA
