Individual,SeasonGrown,YearGrown,Cort,Density,LitterSize,Litter
AA,Fall,2016,2.373,5,0,0
BB,Fall,2015,4.21,5,4,1
BB,Spring,2017,2.749,4,0,0
CC,Fall,2016,7.736,1,4,1
CC,Spring,2017,4.019,1,4,1
DD,Fall,2016,2.26,4,4,1
EE,Fall,2016,0.39,4,3,1
EE,Spring,2017,4.29,4,3,1
FF,Fall,2016,0.971,6,5,1
GG,Spring,2017,4.526,2,4,1
HH,Fall,2016,2.598,2,0,0
HH,Spring,2017,7.541,2,6,1
II,Fall,2016,1.89,2,3,1
II,Spring,2017,9.239,2,3,1
JJ,Fall,2016,2.77,2,6,1
KK,Fall,2015,4.14,3,3,1
KK,Spring,2016,5.77,1,0,0
LL,Fall,2016,0.255,3,0,0
LL,Spring,2017,2.765,3,0,0
MM,Fall,2016,2.164,2,5,1
MM,Spring,2017,9.321,2,5,1
NN,Fall,2016,1.11,3,0,0
NN,Spring,2017,4.32,3,4,1
OO,Fall,2016,2.42,3,4,1
OO,Spring,2017,6.77,3,4,1
PP,Fall,2016,1.69,4,4,1
PP,Spring,2017,5.22,4,4,1
QQ,Spring,2016,4.53,3,0,0
RR,Spring,2017,4.704,2,6,1
SS,Fall,2016,3.915,2,4,1
SS,Spring,2017,5.765,2,4,1
TT,Fall,2015,4.85,2,3,1
TT,Spring,2016,6.56,2,3,1
UU,Fall,2016,2.86,3,6,1
VV,Fall,2016,2.357,2,0,0
VV,Spring,2017,3.6,2,0,0
WW,Fall,2015,2.67,2,5,1
WW,Spring,2016,8.85,2,5,1
XX,Fall,2015,5.39,3,0,0
XX,Spring,2016,7.63,3,4,1
YY,Fall,2016,1.767,5,0,0
YY,Spring,2017,4.529,5,5,1
ZZ,Spring,2016,5,4,0,0
ZZ,Fall,2016,4.192,4,0,0
A,Fall,2016,2.764,2,4,1
A,Spring,2017,3.739,2,0,0
B,Fall,2016,1.34,3,4,1
B,Spring,2017,2.98,3,4,1
C,Fall,2016,1.66,4,2,1
C,Spring,2017,4.44,4,0,0
D,Fall,2016,3.033,4,0,0
D,Spring,2017,6.152,4,5,1
E,Spring,2017,1.26,4,0,0
G,Fall,2016,2.281,4,3,1
G,Spring,2017,4.721,4,3,1
H,Fall,2016,3.062,2,4,1
H,Spring,2017,5.437,2,4,1
I,Spring,2016,4.95,4,0,0
J,Spring,2016,8.01,3,5,1
K,Fall,2016,1.088,2,4,1
K,Spring,2017,3.994,2,4,1
L,Fall,2016,2.69,5,0,0
M,Fall,2016,0.44,2,0,0
M,Spring,2017,0.58,2,0,0
N,Fall,2016,3.489,2,5,1
N,Spring,2017,7.085,2,5,1
O,Fall,2016,1.51,2,4,1
O,Spring,2017,5.962,2,4,1
P,Fall,2016,2.59,2,4,1
P,Spring,2017,4.28,2,0,0
